longitude,latitude,predicted_value
-102.5,23.0,75.04378
-102.5,23.5,90.388275
-102.5,24.0,77.53543
-102.5,24.5,83.92174
-102.5,25.0,80.7654
-102.5,25.5,76.5103
-102.5,26.0,68.94868
-102.5,26.5,73.566414
-102.5,27.0,67.685295
-102.5,27.5,62.476097
-102.5,28.0,65.09874
-102.5,28.5,68.62319
-102.5,29.0,68.138596
-102.5,29.5,53.1494
-102.0,18.0,29.5767
-102.0,18.5,93.33023
-102.0,19.0,43.20061
-102.0,19.5,93.638245
-102.0,20.0,64.41367
-102.0,20.5,67.40414
-102.0,21.0,72.769844
-102.0,21.5,71.13965
-102.0,22.0,72.17509
-102.0,22.5,79.47839
-102.0,23.0,79.869095
-102.0,23.5,90.082275
-102.0,24.0,85.18616
-102.0,24.5,76.993324
-102.0,25.0,70.135635
-102.0,26.0,72.672775
-102.0,26.5,63.196495
-102.0,27.0,67.48347
-102.0,27.5,64.46465
-102.0,28.5,70.92332
-102.0,29.0,64.9009
-101.5,18.0,43.666344
-101.5,18.5,38.377632
-101.5,19.0,36.287716
-101.5,19.5,96.695496
-101.5,20.0,107.58377
-101.5,20.5,85.706856
-101.5,21.0,95.53884
-101.5,21.5,95.884026
-101.5,22.0,84.79552
-101.5,22.5,77.9815
-101.5,23.0,76.12223
-101.5,23.5,75.84307
-101.5,24.0,77.18093
-101.5,24.5,78.80316
-101.5,25.0,68.991486
-101.5,25.5,70.51459
-101.5,26.0,62.118958
-101.5,26.5,73.96766
-101.5,27.0,74.060936
-101.5,27.5,74.07807
-101.5,28.0,75.893486
-101.5,28.5,74.206635
-101.5,29.0,63.407993
-101.5,29.5,60.595657
-101.0,17.5,28.082323
-101.0,18.0,47.24901
-101.0,18.5,37.810207
-101.0,19.0,89.04831
-101.0,19.5,94.90992
-101.0,20.0,98.45265
-101.0,20.5,97.21014
-101.0,21.0,98.24673
-101.0,21.5,111.55916
-101.0,22.0,95.56694
-101.0,22.5,78.86266
-101.0,23.0,77.520874
-101.0,24.0,72.39322
-101.0,24.5,69.979416
-101.0,25.0,76.445854
-101.0,25.5,60.681828
-101.0,26.0,65.50742
-101.0,26.5,74.66677
-101.0,27.5,74.348785
-101.0,28.0,68.319786
-101.0,28.5,58.270504
-101.0,29.0,64.80482
-100.5,17.5,36.248203
